repetition,arm,queries,query_slots,total_search_slots_including_training_and_validation,whole_child_wall_ns,whole_child_cpu_seconds,final_serialized_bytes,peak_rss_platform_units
0,primitive,24,3709,3779,526324388,0.505282,10794,27576
0,ordinary_fragments,24,6069,6245,542502475,0.5204119999999999,13958,27552
0,ocm_fragments,24,6069,6245,843443881,0.766355,223806,29724
1,ordinary_fragments,24,6069,6245,547959163,0.5142380000000002,13958,27476
1,ocm_fragments,24,6069,6245,822039598,0.7753299999999999,223806,29860
1,primitive,24,3709,3779,523232831,0.507074,10794,27224
2,ocm_fragments,24,6069,6245,823196595,0.7705909999999997,223806,29724
2,primitive,24,3709,3779,589381140,0.5128830000000011,10794,27256
2,ordinary_fragments,24,6069,6245,537962969,0.5236749999999994,13958,27648
