         175617941 function calls (175613211 primitive calls) in 50.364 seconds

   Ordered by: internal time
   List reduced from 887 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 20471249    5.745    0.000    7.776    0.000 /home/billy/.local/share/uv/python/cpython-3.13.12-linux-x86_64-gnu/lib/python3.13/fractions.py:334(_from_coprime_ints)
 17648434    5.520    0.000   24.006    0.000 /home/billy/.local/share/uv/python/cpython-3.13.12-linux-x86_64-gnu/lib/python3.13/fractions.py:666(forward)
  8919776    5.062    0.000    6.390    0.000 /home/billy/.local/share/uv/python/cpython-3.13.12-linux-x86_64-gnu/lib/python3.13/fractions.py:203(__new__)
  9852440    4.611    0.000    9.195    0.000 /home/billy/.local/share/uv/python/cpython-3.13.12-linux-x86_64-gnu/lib/python3.13/fractions.py:779(_sub)
  7254231    3.942    0.000    7.643    0.000 /home/billy/.local/share/uv/python/cpython-3.13.12-linux-x86_64-gnu/lib/python3.13/fractions.py:795(_mul)
 29392987    2.875    0.000    2.875    0.000 {built-in method __new__ of type object at 0x14a70e0}
      202    2.664    0.013   37.784    0.187 /home/billy/orion-director-work/20260906/ocm-g1/src/ocm/kso/navigation.py:228(restart_fixed_point_exact)
 36960683    2.662    0.000    2.662    0.000 {built-in method math.gcd}
      202    2.260    0.011   17.808    0.088 /home/billy/orion-director-work/20260906/ocm-g1/src/ocm/kso/navigation.py:206(_solve_exact)
    19552    2.068    0.000    2.068    0.000 /home/billy/.local/share/uv/python/cpython-3.13.12-linux-x86_64-gnu/lib/python3.13/json/encoder.py:207(iterencode)
21022982/21022770    1.991    0.000    2.927    0.000 {built-in method builtins.isinstance}
  2822806    1.643    0.000    7.302    0.000 /home/billy/.local/share/uv/python/cpython-3.13.12-linux-x86_64-gnu/lib/python3.13/fractions.py:680(reverse)
  3076650    1.588    0.000    3.134    0.000 /home/billy/.local/share/uv/python/cpython-3.13.12-linux-x86_64-gnu/lib/python3.13/fractions.py:811(_div)
      202    0.796    0.004    4.429    0.022 /home/billy/orion-director-work/20260906/ocm-g1/src/ocm/kso/navigation.py:84(navigation_matrix)
        1    0.654    0.654    0.654    0.654 {built-in method load}
   171532    0.527    0.000    2.750    0.000 /home/billy/orion-director-work/20260906/ocm-g1/src/ocm/kso/space.py:115(as_dict)
  3311524    0.522    0.000    0.935    0.000 <frozen abc>:117(__instancecheck__)
    11658    0.511    0.000    0.511    0.000 /home/billy/.local/share/uv/python/cpython-3.13.12-linux-x86_64-gnu/lib/python3.13/json/decoder.py:351(raw_decode)
  3311524    0.413    0.000    0.413    0.000 {built-in method _abc._abc_instancecheck}
   202373    0.397    0.000    2.050    0.000 /home/billy/orion-director-work/20260906/ocm-g1/src/ocm/kso/space.py:95(normalized_head_weights)


