route,phase,outcome,exit_code,envelope_wall_s,worker_wall_s,worker_cpu_s,worker_peak_rss_kib,completed_worker_record
C,candidate,SOLUTION,0,0.11415647,0.0311149469926022,0.031074754000000003,47572,True
E0,candidate,EXTERNAL_TIMEOUT,124,20.009268306,UNKNOWN,UNKNOWN,UNKNOWN,False
B,candidate,EXTERNAL_TIMEOUT,124,20.011838971,UNKNOWN,UNKNOWN,UNKNOWN,False
C-spec,verification,PASS,0,0.114050284,0.032952689041849226,0.03267755,57128,True
