n=24 covered=24
task         fam cov        no_lib   with_lib    delta   hits
R2-F1-4-0    F1  True          473        135     -338      1
R2-F1-4-1    F1  True          214        123      -91      1
R2-F1-4-2    F1  True         8483       5450    -3033      1
R2-F1-4-3    F1  True          448        159     -289      1
R2-F1-4-4    F1  True        12566      85616    73050      0
R2-F1-4-5    F1  True           35        113       78      0
R2-F1-4-6    F1  True           39         93       54      0
R2-F1-4-7    F1  True          477        114     -363      1
R2-F1-4-8    F1  True          270        123     -147      1
R2-F1-4-9    F1  True         8653      56071    47418      0
R2-F1-4-10   F1  True           33         87       54      0
R2-F1-4-11   F1  True           54        132       78      0
R2-F2-4-0    F2  True           87        555      468      0
R2-F2-4-1    F2  True       649368    2747069  2097701      1
R2-F2-4-2    F2  True        19395       5421   -13974      1
R2-F2-4-3    F2  True       486303     175909  -310394      1
R2-F2-4-4    F2  True       399131     125951  -273180      1
R2-F2-4-5    F2  True       452777     178993  -273784      1
R2-F2-4-6    F2  True          110        232      122      1
R2-F2-4-7    F2  True        38028      13447   -24581      1
R2-F2-4-8    F2  True         1942        770    -1172      1
R2-F2-4-9    F2  True         3594      26454    22860      0
R2-F2-4-10   F2  True          545       3701     3156      0
R2-F2-4-11   F2  True        17092       4770   -12322      1
