 row | section    | status          | detail
  40 | 3 Table 1  | OK              | count(obligations) = 30; statuscount(obligations, PROVED) = 25; statuscount(obligations, FINITE_CALIBRATION) = 2; statuscount(obligations, PARENT_OWNED) = 2; statuscount(obligations, OPEN) = 1; terminal = M1_KSO_CORE_GREEN
  41 | 3 Table 1  | OK              | m2_1_revival.propagated = 47; m2_1_revival.uniform = 38; m2_1_revival.default_model_changed = false; terminal = M2_UNIFIED_RUNTIME_GREEN
  42 | 3 Table 1  | OK              | deterministic_results.microworld_eval.protected.exact_meaning = 134; terminal = M3_LANGUAGE_UNDERSTANDING_GREEN
  43 | 3 Table 1  | OK              | deterministic_results.dialogue_eval.acts.expected_act_and_committed = 251/251; deterministic_results.dialogue_eval.epistemic_integrity.assertion_to_belief_leakage = 0/51; terminal = M4_DIALOGUE_COGNITIVE_LOOP_GREEN
  44 | 3 Table 1  | OK              | count(deterministic_results.acquisition_eval.regimes) = 5; terminal = M5_CONTINUAL_LANGUAGE_LEARNING_GREEN
  45 | 3 Table 1  | OK              | count(deterministic_results.scenario_eval.incidents) = 4; terminal = LANGUAGE_KSO_ALPHA
  46 | 3 Table 1  | OK              | deterministic_results.terminal_table.RQ1_conversations.matched_parent.n = 54; deterministic_results.terminal_table.RQ1_conversations.matched_parent.terminal = OCM_LANGUAGE_RESIDUAL_SUPPORTED; terminal = "MIXED (claim-by-claim; see terminal_table)"
  47 | 3 Table 1  | OK              | terminal = M8_PARENT_SUFFICIENT_AT_THIS_SCALE
  48 | 3 Table 1  | OK              | deterministic_results.transfer_matrix.expected_met = 14; deterministic_results.transfer_matrix.n = 14; deterministic_results.claims.fresh_start.n = 9; deterministic_results.claims.fresh_start.verdict = EQUIVALENT; terminal = M9_CANNOT_CHECK_FOR_SUPPORTED_AT_THIS_N
  49 | 3 Table 1  | OK              | terminal = M10_MIXED_CLAIM_BY_CLAIM
  50 | 3 Table 1  | OK              | deterministic_results.summary.ocm_solves = 7; deterministic_results.summary.scenarios = 7; deterministic_results.summary.parent_parameter_search_solves = 2; deterministic_results.summary.parent_reflection_retry_solves = 1; terminal = M11_MIXED_CLAIM_BY_CLAIM
  51 | 3 Table 1  | OK              | terminal = FULL_OCM_RESIDUAL_SUPPORTED; count(deterministic_results.v2.tiers.tier6_broad.inferential_residual_families) = 1; deterministic_results.replication = MATCH
  52 | 3 Table 1  | OK              | terminal = OCM_LIFETIME_RESIDUAL_SUPPORTED; deterministic_results.v3.decision = OCM_LIFETIME_RESIDUAL_SUPPORTED; deterministic_results.replication = MATCH
  53 | 3 Table 1  | OK              | deterministic_results.v4.tests.A_conversations.positive = 8; deterministic_results.v4.tests.A_conversations.p_one_sided = 0.0039; terminal = OCM_LIFETIME_RESIDUAL_SUPPORTED
  54 | 3.1        | OK              | contains ok: '## B4 '; deterministic_results.wl_collision_witness.canonical_equal = false; deterministic_results.wl_collision_witness.wl1_hash_equal = true; deterministic_results.wl_collision_witness.isomorphic = false
  55 | 3.1        | OK              | contains ok: '## T6 '
  56 | 3.1        | OK              | contains ok: '## C1 · MEG-33'
  57 | 3.1        | OK              | contains ok: '## C2 '
  58 | 3.1        | OK              | deterministic_results.knowledge.facts = 55; deterministic_results.knowledge.verified = 52; note: 3 reported = 55 − 52
  59 | 3.1        | OK              | contains ok: 'eleven-point demonstration'
  60 | 3.2        | OK              | contains ok: 'so a stale binding fails the hidden chec'
  61 | 3.2        | OK              | contains ok: 'D0–D8'; contains ok: 'C0–C6'
  62 | 3.3        | OK              | count(deterministic_results.v2.summary.ocm) = 3
  63 | 3.3        | OK              | contains ok: '8 fresh streams, seed `OCM-M12-V4`'; contains ok: 'Primary family'; contains ok: 'A conversations — one-sided exact sign t'
  64 | 4          | OK              | contains ok: 'retrieval memory over the same 55 facts'
  65 | 4          | OK              | regexcount '^\\x7c S27 \\x7c' = 1; contains ok: 'skipped the withheld acceptance test'; contains ok: 'V1 = DEV_CALIBRATION'
  66 | 4          | OK              | contains ok: 'DEV_CALIBRATION'; contains ok: 'DEV_CALIBRATION'; contains ok: 'DEV_CALIBRATION'
  67 | 4          | OK              | contains ok: 'Equivalence margin δ = 0.05 (absolute ra'
  68 | 4          | OK              | deterministic_results.min_n = 40
  69 | 4          | OK              | contains ok: 'n_d = 76'; contains ok: 'n_d ≥ 76 discordant pairs'
  70 | 4          | OK              | contains ok: '0/540 discordant'; contains ok: '7/1000'; regexcount '^\\x7c S28 \\x7c' = 1
  71 | 4          | OK              | contains ok: 'p = 1/4, 1/16, 1/64'
  72 | 4          | OK              | contains ok: '8 → 0.813'; contains ok: 'no rejection region below `m = 5`'; contains ok: '8 gives power 0.81 at p = 0.9'
  73 | 4          | OK              | contains ok: 'power p⁸ = 0.430'; regexcount '^\\x7c S37 \\x7c' = 1; contains ok: 'power 0.43'
  74 | 4          | OK              | contains ok: 'size 9/256'; contains ok: 'Secondary families (6)'; deterministic_results.v4.tests.A_post_deployment.alpha = 0.0083; deterministic_results.v4.tests.A_conversations.alpha = 0.05
  75 | 4          | OK              | deterministic_results.v4.gates.hits = 0; deterministic_results.v3.gates.hits = 0; deterministic_results.v2.gates.hits = 0
  76 | 4          | OK              | deterministic_results.information_budget.ocm.knowledge_facts = 55; deterministic_results.information_budget.matched_parent.knowledge_facts = 55; deterministic_results.information_budget.template.knowledge_facts = 52; deterministic_results.information_budget.ocm.protected_exposure = 0; deterministic_results.information_budget.matched_parent.protected_exposure = 0; deterministic_results.information_budget.template.protected_exposure = 0
  77 | 4          | OK              | contains ok: 'fresh `uv` Python 3.11'; verdict = MATCH
  78 | 5.1        | OK              | statuscount(obligations, PROVED) = 25; statuscount(obligations, OPEN) = 1; valuecount(obligations[*].id, "KS-T12") = 1; contains ok: '## G5 · KS-T12 / KS-T14'
  79 | 5.1        | OK              | result.checks.J2.prune_equal = 360; result.checks.J2.reinstate_exact = 360; result.checks.J2.reopening_partition = 360; result.checks.J2.retraction_monotone = 360
  80 | 5.1        | OK              | contains ok: '38/50, NOT_SIGNIFICANT'; contains ok: 'RWR (32/50)'; contains ok: 'CBR (34/50)'; result.historical_replay.terminals.M2_SOLVE_STRONGEST_PARENT_TIE = PARENT_SUFFICIENT
  81 | 5.1        | OK              | result.historical_replay.terminals.M6A_LEAN_PROOF_ADMISSION = M6A_FORMAL_MATH_VERIFIER_CHANNEL_INTEGRATED_PARENT_SUFFICIENT
  82 | 5.1        | OK              | m2_1_revival.propagated = 47; m2_1_revival.uniform = 38; m2_1_revival.guards.baseline_reproduced = true; m2_1_revival.guards.hub_theorem_kept = true; m2_1_revival.guards.no_live_atom_lost = true; m2_1_revival.guards.translator_invariance_kept = true; m2_1_revival.default_model_changed = false
  83 | 5.1        | OK              | regexcount '^\\x7c S7 \\x7c' = 1; contains ok: 'no-op'; contains ok: '## D4 '
  84 | 5.1        | OK              | contains ok: 'agrees with exact to 1e-14; 10⁴ atoms in'; rows[2].atoms = 10000; rows[2].navigation.wall_s = 0.66
  85 | 5.1        | OK              | rows[3].atoms = 100000; contains ok: "the 10^5-atom runtime scaling row is M2'"
  86 | 5.2        | OK              | deterministic_results.microworld_custody.n = 240; deterministic_results.microworld_custody.dev = 106; deterministic_results.microworld_custody.protected = 134; deterministic_results.microworld_custody.held_out_lexemes_absent_from_dev = true
  87 | 5.2        | OK              | deterministic_results.microworld_eval.protected.mean_role_f1 = 1.0; deterministic_results.microworld_eval.protected.construction_identified = 134; deterministic_results.microworld_eval.protected.per_family.negation.n = 32; deterministic_results.microworld_eval.protected.per_family.passive.n = 28; deterministic_results.microworld_eval.protected.per_family.transitive.n = 31; deterministic_results.microworld_eval.protected.per_family.transitive_adj.n = 26; deterministic_results.microworld_eval.protected.per_family.yes_no.n = 17
  88 | 5.2        | OK              | deterministic_results.microworld_eval.acquisition.hypothesis_class_size = 6; deterministic_results.microworld_eval.acquisition.transitive_demonstrations_required = 1; deterministic_results.microworld_eval.revocation_locality.transitive_reopened = true; deterministic_results.microworld_eval.revocation_locality.passive_intact = true; deterministic_results.microworld_eval.ambiguity.suite_n = 3; deterministic_results.microworld_eval.ambiguity.candidate_set_recall = 3; deterministic_results.microworld_eval.ambiguity.false_collapse = 0
  89 | 5.2        | OK              | contains ok: 'transitive_adj 0/26'; regexcount '^\\x7c S13 \\x7c' = 1
  90 | 5.2        | OK              | deterministic_results.dialogue_custody.n = 120; deterministic_results.dialogue_custody.turns_total = 618; deterministic_results.dialogue_custody.protected = 49; deterministic_results.dialogue_eval.persistence.dialogues_restarted_midway = 18
  91 | 5.2        | OK              | deterministic_results.dialogue_eval.clarification.asked = 4; deterministic_results.dialogue_eval.clarification.needed = 4; deterministic_results.dialogue_eval.clarification.unnecessary = 0; deterministic_results.dialogue_eval.correction.dependent_answer_reopened = 9/9; deterministic_results.dialogue_eval.correction.unrelated_answer_intact = 20/20
  92 | 5.2        | OK              | count(deterministic_results.acquisition_eval.frozen_system.lexemes_removed) = 3; count(deterministic_results.acquisition_eval.frozen_system.constructions_removed) = 1; deterministic_results.acquisition_eval.baseline_frozen.exact = 22; deterministic_results.acquisition_eval.probes.held_out_lexeme_subset = 97
  93 | 5.2        | OK              | deterministic_results.acquisition_eval.regimes.E0_explicit_lessons.protected.exact = 134; deterministic_results.acquisition_eval.regimes.E0_explicit_lessons.held_out.exact = 97; deterministic_results.acquisition_eval.regimes.E0_explicit_lessons.information.lessons = 6; deterministic_results.acquisition_eval.regimes.E0_explicit_lessons.information.demos = 1
  94 | 5.2        | OK              | deterministic_results.acquisition_eval.regimes.E1_aligned_demonstrations.protected.exact = 115; deterministic_results.acquisition_eval.regimes.E1_aligned_demonstrations.held_out.exact = 78; deterministic_results.acquisition_eval.regimes.E1_aligned_demonstrations.information.demos = 7; deterministic_results.acquisition_eval.regimes.E1_aligned_demonstrations.information.words = 3
  95 | 5.2        | OK              | deterministic_results.acquisition_eval.regimes.E2_raw_corpus.information.words = 661; deterministic_results.acquisition_eval.regimes.E2_raw_corpus.forms.form_hypotheses = 88; deterministic_results.acquisition_eval.regimes.E2_raw_corpus.forms.consultable = 0; deterministic_results.acquisition_eval.regimes.E2_raw_corpus.semantic_gain_must_be_zero = 0; deterministic_results.acquisition_eval.regimes.E2_raw_corpus.protected.exact = 22; deterministic_results.acquisition_eval.regimes.E2_raw_corpus.held_out.exact = 0
  96 | 5.2        | OK              | deterministic_results.acquisition_eval.regimes.E3_grounded_interaction.protected.exact = 37; deterministic_results.acquisition_eval.regimes.E3_grounded_interaction.information.interactions = 1; deterministic_results.acquisition_eval.regimes.E3_grounded_interaction.held_out.exact = 0
  97 | 5.2        | OK              | deterministic_results.acquisition_eval.regimes.E4_curricula."demos-only".final = 115; deterministic_results.acquisition_eval.regimes.E4_curricula."interaction-first".final = 134; deterministic_results.acquisition_eval.regimes.E4_curricula."lessons→interaction→raw".final = 134; deterministic_results.acquisition_eval.regimes.E4_curricula."raw→demos→interaction".final = 115
  98 | 5.2        | OK              | deterministic_results.acquisition_eval.retention_after_E1.new_gain = 93; deterministic_results.acquisition_eval.retention_after_E1.denominators.new = 112; deterministic_results.acquisition_eval.retention_after_E1.old_loss = 0; deterministic_results.acquisition_eval.retention_after_E1.denominators.old = 22; deterministic_results.acquisition_eval.retention_after_E1.unrelated_change = 0; deterministic_results.acquisition_eval.retention_after_E1.denominators.unrelated = 22
  99 | 5.2        | OK              | deterministic_results.acquisition_eval.negative_transfer.sov_under_english_inventory = UNKNOWN_CONSTRUCTION; deterministic_results.acquisition_eval.negative_transfer.forced_english_order_gives_correct_roles = false
 100 | 5.2 Table  | OK              | count(deterministic_results.acquisition_eval.regimes.E4_curricula) = 4; note: the four curricula carry a final protected count and a curve but no held_out field, so the held-out column is NOT MEASURED
 101 | 5.3        | OK              | count(deterministic_results.scenario_eval.scenarios) = 9; deterministic_results.scenario_eval.incidents.restart_lost_state = 0; contains ok: '0 / 9 scenarios'
 102 | 5.3        | OK              | count(deterministic_results.scenario_eval.hostiles) = 3; deterministic_results.scenario_eval.hostiles.assertion_to_belief.steps = 2; deterministic_results.scenario_eval.hostiles.assertion_to_belief.expected = 2; deterministic_results.scenario_eval.hostiles.revoked_still_asserted.steps = 3; deterministic_results.scenario_eval.hostiles.revoked_still_asserted.expected = 3; deterministic_results.scenario_eval.hostiles.unknown_not_hallucinated.steps = 1; deterministic_results.scenario_eval.hostiles.unknown_not_hallucinated.expected = 1
 103 | 5.3        | OK              | contains ok: 'mean 28 ms / max 77 ms'; deterministic_results.scenario_eval.external_io = 0
 104 | 5.3        | OK              | contains ok: 'OCM-ALPHA-HUMAN-EVAL-20260905'
 105 | 5.4        | OK              | deterministic_results.study.v1_status = "DEV_CALIBRATION (system fixes S22–S24 made after V1 outcome access)"; regexcount '^\\x7c S2[234] \\x7c' = 3
 106 | 5.4        | OK              | contains ok: '(12, 54 paired turns), six new lessons'; contains ok: '30 in-scope + 20 out-of-scope'
 107 | 5.4 Table  | OK              | deterministic_results.terminal_table.RQ1_conversations.matched_parent.ocm = 53; deterministic_results.terminal_table.RQ1_conversations.matched_parent.other = 33; deterministic_results.terminal_table.RQ1_conversations.matched_parent.n = 54; deterministic_results.terminal_table.RQ1_conversations.matched_parent.difference = 0.370; deterministic_results.terminal_table.RQ1_conversations.matched_parent.ci_90 = [0.267, 0.370]; deterministic_results.terminal_table.RQ1_conversations.matched_parent.test_verdict = RESIDUAL_A; deterministic_results.terminal_table.RQ1_conversations.matched_parent.terminal = OCM_LANGUAGE_RESIDUAL_SUPPORTED
 108 | 5.4 Table  | OK              | deterministic_results.terminal_table.RQ1_conversations.template.other = 10; deterministic_results.terminal_table.RQ1_conversations.template.difference = 0.796; deterministic_results.terminal_table.RQ1_conversations.template.test_verdict = RESIDUAL_A
 109 | 5.4 Table  | OK              | deterministic_results.terminal_table.RQ1_factual.matched_parent.ocm = 30; deterministic_results.terminal_table.RQ1_factual.matched_parent.other = 27; deterministic_results.terminal_table.RQ1_factual.matched_parent.n = 30; deterministic_results.terminal_table.RQ1_factual.matched_parent.test_verdict = INCONCLUSIVE
 110 | 5.4 Table  | OK              | deterministic_results.laundering_audit.incidents = 0; contains ok: '0 incidents / 3 probes'
 111 | 5.4 Table  | OK              | deterministic_results.summary.ocm.post_deployment.acquired = 6/6; deterministic_results.summary.ocm.post_deployment.compositional_reuse = 5/6; deterministic_results.summary.ocm.post_deployment.retained_after_restart = 6/6; deterministic_results.summary.ocm.post_deployment.revoked_stops = 6/6; deterministic_results.summary.ocm.post_deployment.relearned = 6/6; deterministic_results.summary.matched_parent.post_deployment.acquired = 3/6; deterministic_results.summary.matched_parent.post_deployment.compositional_reuse = 3/6; deterministic_results.summary.matched_parent.post_deployment.retained_after_restart = 3/6; deterministic_results.summary.matched_parent.post_deployment.revoked_stops = 6/6; deterministic_results.summary.matched_parent.post_deployment.relearned = 3/6
 112 | 5.4 Table  | OK              | deterministic_results.terminal_table.RQ5_honest_unknown.matched_parent.ocm = 20; deterministic_results.terminal_table.RQ5_honest_unknown.matched_parent.other = 17; deterministic_results.terminal_table.RQ5_honest_unknown.matched_parent.n = 20; deterministic_results.terminal_table.RQ5_honest_unknown.matched_parent.test_verdict = INCONCLUSIVE
 113 | 5.4 Table  | OK              | deterministic_results.terminal_table.RQ6_negative_transfer.matched_parent.ocm = 7; deterministic_results.terminal_table.RQ6_negative_transfer.matched_parent.other = 5; deterministic_results.terminal_table.RQ6_negative_transfer.matched_parent.n = 7; deterministic_results.terminal_table.RQ6_negative_transfer.matched_parent.test_verdict = INCONCLUSIVE
 114 | 5.4        | OK              | deterministic_results.terminal_table.RQ1_conversations.ocm-no_clarification.other = 52; deterministic_results.terminal_table.RQ1_conversations.ocm-no_clarification.test_verdict = EQUIVALENT; deterministic_results.terminal_table.RQ1_conversations.ocm-no_revocation.other = 52; deterministic_results.terminal_table.RQ1_conversations.ocm-no_revocation.test_verdict = EQUIVALENT; deterministic_results.terminal_table.RQ1_conversations.ocm-last_turn_memory.other = 49; deterministic_results.terminal_table.RQ1_conversations.ocm-last_turn_memory.test_verdict = INCONCLUSIVE
 115 | 5.4        | OK              | deterministic_results.summary.ocm-no_revocation.post_deployment.revoked_stops = 0/6; deterministic_results.summary.ocm.post_deployment.revoked_stops = 6/6
 116 | 5.4        | OK              | deterministic_results.external_families.BLiMP.covered = 0; deterministic_results.external_families.BLiMP.pairs = 6000; deterministic_results.external_families.UD_EWT.interpreted = 0; deterministic_results.external_families.UD_EWT.sentences = 800; deterministic_results.external_families.BabyLM.terminal = CANNOT_CHECK_BABYLM_DATA; deterministic_results.external_families.CHILDES.terminal = CANNOT_CHECK_CHILDES_DATA
 117 | 5.4        | OK              | contains ok: '≈ 60 lexemes, 7 constructions'
 118 | 5.5        | OK              | contains ok: '4 latent regions × 8 atoms; 7 tasks each'; deterministic_results.flat_baselines.clean_hierarchy.tasks = 7; count(deterministic_results.worlds) = 6
 119 | 5.5        | OK              | contains ok: '167 atoms: lexemes, constructions, rules'
 120 | 5.5        | OK              | deterministic_results.worlds.clean_hierarchy.R0_flat.navigation_work = 21.7; deterministic_results.worlds.clean_hierarchy.R2_communities.navigation_work = 11.4; deterministic_results.worlds.clean_hierarchy.R2_communities.exact_regions = 4; deterministic_results.worlds.clean_hierarchy.R6_learned.exact_regions = 4; deterministic_results.worlds.clean_hierarchy.R6_learned.navigation_work = 11.4
 121 | 5.5        | OK              | contains ok: '0 adopted of 10'
 122 | 5.5        | OK              | deterministic_results.worlds.overlapping_communities.R2_communities.exact_regions = 0; deterministic_results.worlds.overlapping_communities.R4_fibred.exact_regions = 1; deterministic_results.worlds.overlapping_communities.R0_flat.navigation_work = 32.0; deterministic_results.worlds.overlapping_communities.R6_learned.navigation_work = 18.3; contains ok: '1 adopted of 1'
 123 | 5.5        | OK              | deterministic_results.worlds.misleading_hierarchy.R1_hand_tree.navigation_work = 5.4; deterministic_results.worlds.misleading_hierarchy.R1_hand_tree.exact_regions = 0
 124 | 5.5        | OK              | contains ok: 'success is 0.86 for every arm'; deterministic_results.worlds.clean_hierarchy.R0_flat.task_success = 1.0
 125 | 5.5        | OK              | count(deterministic_results.worlds[*][*].macro_live_over_dead_children) = 36; sum(deterministic_results.worlds[*][*].macro_live_over_dead_children) = 0; contains ok: 'live macro over dead children: 0** in al'
 126 | 5.5        | OK              | deterministic_results.language_stream.R0_flat.navigation_work = 4.6; deterministic_results.language_stream.R4_fibred.task_success = 0.33; contains ok: 'R2 communities | 1.0 | 4.4 | 62 | 21 |'
 127 | 5.5        | OK              | count(deterministic_results.cannot_check_arms) = 2
 128 | 5.6        | OK              | deterministic_results.summary.ocm.success = 54/54; deterministic_results.summary.ocm.unauthorized_attempts = 0; deterministic_results.summary.fresh_start.success = 54/54; deterministic_results.summary.skill_library.success = 54/54; deterministic_results.summary.trajectory_memory.success = 54/54; deterministic_results.summary.ocm-no_router.success = 54/54; deterministic_results.summary.ocm-no_transfer.success = 54/54
 129 | 5.6        | OK              | deterministic_results.summary.ocm.mean_later_domain_acquisition_cost = 7.0; deterministic_results.summary.ocm-no_router.mean_later_domain_acquisition_cost = 7.0; deterministic_results.summary.ocm-no_transfer.mean_later_domain_acquisition_cost = 12.0; deterministic_results.summary.fresh_start.mean_later_domain_acquisition_cost = 12.0; deterministic_results.summary.trajectory_memory.mean_later_domain_acquisition_cost = 12.0; deterministic_results.summary.skill_library.mean_later_domain_acquisition_cost = 12.0; deterministic_results.summary.ocm.later_routes = ["TRANSFER"]; deterministic_results.summary.ocm-no_transfer.later_routes = ["LEARN_NEW"]
 130 | 5.6        | OK              | deterministic_results.summary."fresh_start_unvalidated(not matched)".mean_later_domain_acquisition_cost = 6.0
 131 | 5.6        | OK              | deterministic_results.transfer_precision.attempted = 6; deterministic_results.transfer_precision.beneficial = 6; deterministic_results.transfer_precision.precision = 1.0; contains ok: 'harmful transfers 0; false refusals 0'
 132 | 5.6        | OK              | deterministic_results.claims.fresh_start.n = 9; deterministic_results.claims.fresh_start.verdict = EQUIVALENT; deterministic_results.claims.skill_library.verdict = EQUIVALENT; deterministic_results.claims.trajectory_memory.verdict = EQUIVALENT; deterministic_results.claims.ocm-no_transfer.verdict = EQUIVALENT
 133 | 5.6        | OK              | deterministic_results.transfer_matrix.expected_met = 14; deterministic_results.transfer_matrix.n = 14; deterministic_results.transfer_matrix.cells.T7_superficial_similarity.result = REFUSE_TRANSFER; deterministic_results.transfer_matrix.cells.T8_outside_authority.result = REFUSE_TRANSFER; deterministic_results.transfer_matrix.cells.T9_source_revoked.result = REFUSE_TRANSFER; deterministic_results.transfer_matrix.cells.T13_short_horizon_helps_final_hurts.result = REFUSE_TRANSFER
 134 | 5.6        | OK              | count(deterministic_results.external_benchmarks) = 5
 135 | 5.7        | OK              | deterministic_results.causal."identified_estimates_within_0.25" = 10/10; deterministic_results.causal.naive_biased_on_confounded_worlds = 2/2; deterministic_results.causal.causal_claims_allowed_without_assumptions = 0; count(deterministic_results.causal.worlds) = 5
 136 | 5.7        | OK              | deterministic_results.causal.worlds.confounded.naive.value = 1.28; deterministic_results.causal.worlds.confounded.oracle = 0.5; deterministic_results.causal.worlds.no_effect_confounded.naive.value = 0.52; deterministic_results.causal.worlds.no_effect_confounded.oracle = 0.0
 137 | 5.7        | OK              | deterministic_results.causal.worlds.collider.collider_adjusted.value = -0.49; deterministic_results.causal.worlds.collider.collider_adjusted.identified = false; deterministic_results.causal.worlds.collider.oracle = 0
