 row | section    | status          | detail
----------------------------------------------------------------------------------------------------
   1 | Abstract   | OK              | deterministic_results.microworld_eval.protected.exact_meaning = 134; deterministic_results.microworld_eval.protected.n = 134
   2 | Abstract   | OK              | deterministic_results.scenario_eval.steps_total = 42; deterministic_results.scenario_eval.steps_expected = 42; deterministic_results.scenario_eval.incidents.answer_laundering = 0; deterministic_results.scenario_eval.incidents.assertion_became_belief = 0; deterministic_results.scenario_eval.incidents.restart_lost_state = 0; deterministic_results.scenario_eval.incidents.revoked_asserted_live = 0
   3 | Abstract   | OK              | deterministic_results.v4.tests.A_conversations.positive = 8; deterministic_results.v4.tests.A_conversations.p_one_sided = 0.0039; deterministic_results.v4.tests.A_conversations.role = primary; deterministic_results.v4.tests.A_conversations.verdict = OCM_RESIDUAL; deterministic_results.v4.decision = OCM_LIFETIME_RESIDUAL_SUPPORTED
   4 | Abstract   | OK              | verdict = MATCH; first_difference = null
   5 | Abstract   | OK              | count(deterministic_results.v4.secondary_rejections) = 6; deterministic_results.v4.tests.A_post_deployment.collapsed_one_coin = true; deterministic_results.v4.tests.A_honest_unknown.collapsed_one_coin = true; deterministic_results.v4.tests.D_causal.collapsed_one_coin = true; deterministic_results.v4.tests.E_transfer.collapsed_one_coin = true; deterministic_results.v4.tests.F_integrity.collapsed_one_coin = true; deterministic_results.v4.tests.G_self_repair.collapsed_one_coin = true; deterministic_results.v4.tests.A_post_deployment.positive = 8; deterministic_results.v4.tests.G_self_repair.positive = 8
   6 | Abstract   | OK              | deterministic_results.v4.tests.B_enterprise.n_nonzero = 0; deterministic_results.v4.tests.C_software.n_nonzero = 0; deterministic_results.v4.tests.D_selection.n_nonzero = 0; deterministic_results.v4.tests.D_analysis.n_nonzero = 0; deterministic_results.v4.tests.D_proof.n_nonzero = 0
   7 | Abstract   | OK              | terminal = M8_PARENT_SUFFICIENT_AT_THIS_SCALE; contains ok: 'M8 at the evaluated organisation scale'
   8 | Abstract   | OK              | sum(lifetimes[*].four_class.unlicensed_true) = 199; sum(lifetimes[*].four_class.unlicensed_false) = 38; contains ok: 'answers 237 of the 240'; note: 237 = 199 unlicensed-true + 38 unlicensed-false
   9 | Abstract   | OK              | sum(lifetimes[*].post_deployment.acquired) = 25/48
  10 | Abstract   | OK              | contains ok: 'Historical predecessor cells reopened'; contains ok: 'M11_ENGINEERING_REVALIDATION__HISTORICAL'; contains ok: 'M12_ENGINEERING_REVALIDATION__PROTECTED_'
  11 | Abstract   | OK              | contains ok: 'No novelty, consciousness, human-equival'
  12 | 1          | OK              | contains ok: 'treat the development of OCM like a prob'; contains ok: 'Thesis honoured'
  13 | 1          | OK              | authority.GENERAL_NOVELTY = NOT_ESTABLISHED; authority.GENERAL_NOVELTY = NOT_ESTABLISHED; authority.general_novelty = NOT_ESTABLISHED
  14 | 1          | OK              | deterministic_results.external_families.human_rating.terminal = "CANNOT_CHECK (protocol frozen, not run)"
  15 | 2.1        | OK              | result.checks.KS-T21.intervals = 168; result.checks.KS-T21.homomorphism_checks = 225792
  16 | 2.1        | OK              | valuecount(obligations[*].id, "KS-T21") = 1; contains ok: 'Theorem KS-T21 (liveness is a Kleene hom'
  17 | 2.1        | OK              | regexcount '^\\x7c S1 \\x7c' = 1; contains ok: 'warrant **interval**'
  18 | 2.1        | OK              | valuecount(obligations[*].id, "KS-T18") = 1; result.registry.outcomes.KS-T18 = PASS
  19 | 2.1        | OK              | result.checks.KS-T23.majority_mutant_differs = 1; result.checks.KS-T23.all_support_dead_summary_dead = 1
  20 | 2.2        | OK              | result.checks.KS-T20.authority_is_meet = 1; result.checks.KS-T20.scope_is_intersection = 1; result.checks.KS-T20.warrant_is_meet = 1
  21 | 2.2        | OK              | contains ok: '## T1 · MEG-04 · commit authority is a b'
  22 | 2.2        | OK              | contains ok: '## B1 · MEG-05 · discourse-state warrant'; contains ok: '10 speakers'
  23 | 2.2        | OK              | contains ok: '## B5 '
  24 | 2.3        | OK              | result.checks.KS-T09.least_closed_superset = 3; result.checks.KS-T09.irrelevant_revocation_noop = 1
  25 | 2.3        | OK              | valuecount(obligations[*].id, "KS-T22") = 1; contains ok: '## 3. Reopening locality (KS-T22)'
  26 | 2.3        | OK              | contains ok: '## B6 '
  27 | 2.3        | OK              | contains ok: '## T4 · MEG-18 · Jump rollback is revoke'
  28 | 2.4        | OK              | result.registry.outcomes.KS-T04 = PASS; result.registry.outcomes.KS-T04b = PASS; result.registry.outcomes.KS-T04c = PASS
  29 | 2.4        | OK              | result.checks.KS-T19.timeout_is_gap = 1; result.checks.KS-T19.zero_budget_cannot_check = 1; result.checks.KS-T19.distinct_outcomes = 3
  30 | 2.4        | OK              | contains ok: '## T2 · MEG-06 · budget bracket for the '; contains ok: 'mutant_unnormalised_iterate'; contains ok: 'iterated from `s`'
  31 | 2.5        | OK              | contains ok: '## B2 · MEG-12 · per-input version-space'; contains ok: '## C6 '
  32 | 2.5        | OK              | contains ok: '## D2 '
  33 | 2.6        | OK              | contains ok: '## E1 · MEG-29'
  34 | 2.6        | OK              | contains ok: '## E6 '; contains ok: '## E7 '; contains ok: '## T8 '
  35 | 2.7        | OK              | filecount = 14; count(obligations) = 151; statuscount(obligations, PROVED) = 93; statuscount(obligations, FINITE_CALIBRATION) = 25; statuscount(obligations, PARENT_OWNED) = 3; statuscount(obligations, OPEN) = 28; statuscount(obligations, CANNOT_CHECK) = 2
  36 | 2.7        | OK              | count(result.event_families) = 23
  37 | 2.7        | OK              | result.historical_replay.counts.PASS = 8; result.historical_replay.counts.FAIL = 0; result.historical_replay.counts.CANNOT_CHECK = 0
  38 | 3          | OK              | regexcount '^\\x7c M\\d+ .*\\x7c #\\d+ \\x7c' = 13
  39 | 3 Table 1  | OK              | measurements.migrated_file_count = 158; measurements.byte_identity_pass = 158; measurements.byte_identity_total = 158; measurements.runnable_reference_entrypoints = 33; measurements.reference_entrypoints_total = 33; measurements.clean_clone_tests_pass = 269; terminal = M0_CANONICAL_REPO_GREEN
