         175617941 function calls (175613211 primitive calls) in 50.364 seconds

   Ordered by: cumulative time
   List reduced from 887 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   50.410   50.410 <stdin>:9(workload)
        1    0.000    0.000   46.076   46.076 /home/billy/orion-director-work/20260906/ocm-g1/src/ocm/runtime/ocm_runtime.py:110(__init__)
        1    0.012    0.012   46.076   46.076 /home/billy/orion-director-work/20260906/ocm-g1/src/ocm/runtime/ocm_runtime.py:141(_replay)
      202    0.095    0.000   42.465    0.210 /home/billy/orion-director-work/20260906/ocm-g1/src/ocm/kso/navigation.py:271(fixed_point)
     1057    0.012    0.000   40.772    0.039 /home/billy/orion-director-work/20260906/ocm-g1/src/ocm/runtime/ocm_runtime.py:166(_apply)
      215    0.063    0.000   40.712    0.189 /home/billy/orion-director-work/20260906/ocm-g1/src/ocm/kso/admission.py:81(admit)
      202    2.664    0.013   37.784    0.187 /home/billy/orion-director-work/20260906/ocm-g1/src/ocm/kso/navigation.py:228(restart_fixed_point_exact)
 17648434    5.520    0.000   24.006    0.000 /home/billy/.local/share/uv/python/cpython-3.13.12-linux-x86_64-gnu/lib/python3.13/fractions.py:666(forward)
      202    2.260    0.011   17.808    0.088 /home/billy/orion-director-work/20260906/ocm-g1/src/ocm/kso/navigation.py:206(_solve_exact)
  9852440    4.611    0.000    9.195    0.000 /home/billy/.local/share/uv/python/cpython-3.13.12-linux-x86_64-gnu/lib/python3.13/fractions.py:779(_sub)
 20471249    5.745    0.000    7.776    0.000 /home/billy/.local/share/uv/python/cpython-3.13.12-linux-x86_64-gnu/lib/python3.13/fractions.py:334(_from_coprime_ints)
  7254231    3.942    0.000    7.643    0.000 /home/billy/.local/share/uv/python/cpython-3.13.12-linux-x86_64-gnu/lib/python3.13/fractions.py:795(_mul)
  2822806    1.643    0.000    7.302    0.000 /home/billy/.local/share/uv/python/cpython-3.13.12-linux-x86_64-gnu/lib/python3.13/fractions.py:680(reverse)
  8919776    5.062    0.000    6.390    0.000 /home/billy/.local/share/uv/python/cpython-3.13.12-linux-x86_64-gnu/lib/python3.13/fractions.py:203(__new__)
     1067    0.091    0.000    5.059    0.005 /home/billy/orion-director-work/20260906/ocm-g1/src/ocm/runtime/ocm_runtime.py:78(kso_state_hash)
     1069    0.073    0.000    4.914    0.005 /home/billy/orion-director-work/20260906/ocm-g1/src/ocm/kso/space.py:284(digest)
      202    0.796    0.004    4.429    0.022 /home/billy/orion-director-work/20260906/ocm-g1/src/ocm/kso/navigation.py:84(navigation_matrix)
        1    0.001    0.001    4.334    4.334 /home/billy/orion-director-work/20260906/ocm-g1/research/ocm-prototype/g1_vessel.py:81(query)
        1    0.000    0.000    3.600    3.600 /home/billy/orion-director-work/20260906/ocm-g1/src/ocm/runtime/ocm_runtime.py:298(solve)
  3076650    1.588    0.000    3.134    0.000 /home/billy/.local/share/uv/python/cpython-3.13.12-linux-x86_64-gnu/lib/python3.13/fractions.py:811(_div)
21022982/21022770    1.991    0.000    2.927    0.000 {built-in method builtins.isinstance}
 29392987    2.875    0.000    2.875    0.000 {built-in method __new__ of type object at 0x14a70e0}
        1    0.000    0.000    2.765    2.765 /home/billy/orion-director-work/20260906/ocm-g1/src/ocm/runtime/solve.py:395(solve)
   171532    0.527    0.000    2.750    0.000 /home/billy/orion-director-work/20260906/ocm-g1/src/ocm/kso/space.py:115(as_dict)
 36960683    2.662    0.000    2.662    0.000 {built-in method math.gcd}
    19552    0.022    0.000    2.123    0.000 /home/billy/.local/share/uv/python/cpython-3.13.12-linux-x86_64-gnu/lib/python3.13/json/__init__.py:185(dumps)
    19552    0.020    0.000    2.096    0.000 /home/billy/.local/share/uv/python/cpython-3.13.12-linux-x86_64-gnu/lib/python3.13/json/encoder.py:185(encode)
    19552    2.068    0.000    2.068    0.000 /home/billy/.local/share/uv/python/cpython-3.13.12-linux-x86_64-gnu/lib/python3.13/json/encoder.py:207(iterencode)
        1    0.003    0.003    2.053    2.053 /home/billy/orion-director-work/20260906/ocm-g1/src/ocm/runtime/solve.py:163(navigate_stage)
   202373    0.397    0.000    2.050    0.000 /home/billy/orion-director-work/20260906/ocm-g1/src/ocm/kso/space.py:95(normalized_head_weights)
     1501    0.001    0.000    1.460    0.001 /home/billy/orion-director-work/20260906/ocm-g1/src/ocm/kso/ids.py:23(canonical_json)
        9    0.001    0.000    1.342    0.149 /home/billy/orion-director-work/20260906/ocm-g1/src/ocm/store/ledger.py:298(append)
       10    0.014    0.001    1.324    0.132 /home/billy/orion-director-work/20260906/ocm-g1/src/ocm/store/ledger.py:173(entries)
        8    0.055    0.007    1.318    0.165 /home/billy/orion-director-work/20260906/ocm-g1/src/ocm/runtime/ocm_runtime.py:126(_emit)
  3311524    0.522    0.000    0.935    0.000 <frozen abc>:117(__instancecheck__)


